Product ID Tag,Handle,CPI,Product ID Not Found in Tracker,No Images in Manifest,Missing Ghost Image,Missing Primary Ghost Image,Inconsistent Filenames,Missing Hero or Model Images,Missing Parent Row,Override to Import,Image Position Override
S126-8332 KYS923 000001 BLACK,kaplan-dress-black,8332-000001,,X,,,,,,,
S126-8332 KYS923 000562 DUSTY LILAC,kaplan-dress-dusty-lilac,8332-000562,,X,,,,,,,
S126-3033 BYP058 373398 DESERT SAGE ANIMAL,katrin-dress-desert-sage-animal,3033-373398,,X,,,,,,,
S126-3019 SCS011 000406 BERRY BLUE,kiera-dress-berry-blue,3019-000406,,,,,,X,,,
S126-8103 KWM014 000406 BERRY BLUE,llewellyn-jacket-berry-blue,8103-000406,,X,,,,,,,
S126-8103 KWM014 000181 BONE MELANGE,llewellyn-jacket-bone-melange,8103-000181,,X,,,,,,,
S126-7694 LLS036 000001 BLACK,loquette-belt-black,7694-000001,,X,,,,,,,
S126-5018 ACS017 000445 NIGHTFALL,mack-skirt-nightfall,5018-000445,,,,,,X,,,
S126-8315 KYS071 000001 BLACK,marian-dress-black,8315-000001,,X,,,,,,,
S126-8315 KYS071 000563 MAROON,marian-dress-maroon,8315-000563,,X,,,,,,,
S126-8833 KCS042 351258 TOFFEE,marty-sweater-toffee,8833-351258,,X,,,,,,,
S126-8316 KYS080 000001 BLACK,meyer-dress-black,8316-000001,,X,,,,,,,
S126-3050 ZYS008 000171 MACADAMIA,noor-dress-macadamia,3050-000171,,X,,,,,,,
S126-8810 KKS818 000454 ASH BLUE,oates-sweater-ash-blue,8810-000454,,X,,,,,,,
S126-8810 KKS818 000102 IVORY,oates-sweater-ivory,8810-000102,,X,,,,,,,
S126-8810 KKS818 000563 MAROON,oates-sweater-maroon,8810-000563,,X,,,,,,,
S126-7692 LLS036 000001 BLACK,organic-buckle-belt-black,7692-000001,,X,,,,,,,
S126-7692 LLS036 000182 TAHINI,organic-buckle-belt-tahini,7692-000182,,X,,,,,,,
S126-7153 LLE052 381001 BLACK/SILVER,origami-bag-black-silver,7153-381001,,X,,,,,,,
S126-7153 LLC052 000214 BURNT CYPRESS,origami-bag-burnt-cypress,7153-000214,,X,,,,,,,
S126-7153 LUC006 000479 MIDNIGHT,origami-bag-midnight,7153-000479,,X,,,,,,,
S126-7160 LLE054 381182 TAHINI/SILVER,origami-bag-mini-tahini-silver,7160-381182,,X,,,,,,,
S126-7153 LLS060 000132 WEIZEN,origami-bag-weizen,7153-000132,,X,,,,,,,
S126-7167 LLE053 380001 BLACK/CRYSTAL,origami-baguette-black-crystal,7167-380001,X,X,,,,,,,
S126-7167 LLC053 000001 BLACK PATENT CROC,origami-baguette-black-patent-croc,7167-000001,,X,,,,,,,
S126-7167 CYS008 000649 HOLLY RED,origami-baguette-holly-red,7167-000649,,X,,,,,,,
S126-7167 CYS008 000479 MIDNIGHT,origami-baguette-midnight,7167-000479,,X,,,,,,,
S126-3052 BSP024 418001 BLACK FLOWERS,penny-dress-black-flowers,3052-418001,,X,,,,,,,
S126-8835 KCS018 000406 BERRY BLUE,pogo-sweater-berry-blue,8835-000406,,X,,,,,,,
S126-8835 KCS018 000102 IVORY,pogo-sweater-ivory,8835-000102,,X,,,,,,,
S126-8835 KCS018 000067 STORM,pogo-sweater-storm,8835-000067,,,,,,X,,,
S126-8813 KWM014 000454 ASH BLUE MEL,putney-sweater-ash-blue-mel,8813-000454,,X,,,,,,,
S126-8813 KWM014 000406 BERRY BLUE MEL,putney-sweater-berry-blue-mel,8813-000406,,X,,,,,,,
S126-8817 KWS059 419406 BERRY BLUE,sayle-sweater-berry-blue,8817-419406,,X,,,,,,,
S126-8817 KWS059 419008 JET MELANGE,sayle-sweater-jet-melange,8817-419008,,X,,,,,,,
S126-4008 ZYS008 000171 MACADAMIA,sleary-top-macadamia,4008-000171,,,,,,X,,,
S126-4008 BSP024 418067 STORM FLOWERS,sleary-top-storm-flowers,4008-418067,,X,,,,,,,
S126-7152 LLC036 000001 BLACK,small-tote-black,7152-000001,X,X,,,,,,,
S126-7683 LUC006 000214 BURNT CYPRESS,square-buckle-belt-burnt-cypress,7683-000214,,X,,,,,,,
S126-7683 LUC006 000563 MAROON,square-buckle-belt-maroon,7683-000563,,X,,,,,,,
S126-8816 KWS090 000406 BERRY BLUE,tate-sweater-berry-blue,8816-000406,,X,,,,,,,
S126-8816 KWS090 000236 CAMEL,tate-sweater-camel,8816-000236,,X,,,,,,,
S126-8816 KWS090 000399 SMOKE PINE,tate-sweater-smoke-pine,8816-000399,,X,,,,,,,
S126-8825 KYS071 000001 BLACK,taylor-sweater-black,8825-000001,,X,,,,,,,
S126-8825 KYS071 000563 MAROON,taylor-sweater-maroon,8825-000563,,X,,,,,,,
S126-8830 KWS068 000102 IVORY,thea-sweater-ivory,8830-000102,,X,,,,,,,
S126-8809 KWS022 000181 BONE MELANGE,toro-sweater-bone-melange,8809-000181,,X,,,,,,,
S126-5013 BSP031 418001 BLACK FLOWERS,varda-skirt-black-flowers,5013-418001,,,,,,X,,,
S126-5023 LUS003 000265 GOLDEN OAK,varda-skirt-golden-oak,5023-000265,,,,,,X,,,
S126-5013 BSP024 418067 STORM FLOWERS,varda-skirt-storm-flowers,5013-418067,,X,,,,,,,
S126-7695 LLS036 000001 BLACK,western-boho-belt-black,7695-000001,,,,X,,,,x,first
S126-7695 LLS036 000206 PRALINE,western-boho-belt-praline,7695-000206,,X,,,,,,,
S126-7151 LLC036 000001 BLACK,xl-tote-black,7151-000001,X,X,,,,,,,
