Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Category (product.metafields.altuzarra.category),Color (product.metafields.altuzarra.color),Details (product.metafields.altuzarra.details),Get the look (product.metafields.altuzarra.look_products),Status
ty-sweater-pale-blush,,,,,,,,,L,,,Pale Blush,,,,,840483423954,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423954,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000689_PALE_BLUSH_FINAL_model_image_3_020.jpg,4,,,,,,,,,,,,,,,,,,,,
ty-sweater-pale-blush,,,,,,,,,XL,,,Pale Blush,,,,,840483423961,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423961,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000689_PALE_BLUSH_FINAL_model_image_4_024.jpg,5,,,,,,,,,,,,,,,,,,,,
ty-sweater-berry-blue,Ty Sweater,"<p>The Ty Sweater is an understated design that can be styled multiple ways. It's spun from a soft wool and alpaca-blend to a close-fitting silhouette that falls to a ribbed hem, then it's finished with a round neckline and half sleeves.</p>",Altuzarra,Apparel & Accessories > Clothing > Shirts & Tops,KNIT TOP,"DTC BUY, S126, S126-8834 KWS068 000406 BERRY BLUE, SS26, style_Ty Sweater, color_berry blue, collection_ready-to-wear, collection_knitwear, collection_tops, collection_new-arrivals",FALSE,Size,XS,,Color,Berry Blue,,,,,840483423879,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423879,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000406_BERRY_BLUE_FINAL_ghost_00686.jpg,1,,FALSE,Ty Sweater in Berry Blue,"The Ty Sweater is an understated design that can be styled multiple ways. It's spun from a soft wool and alpaca-blend to a close-fitting silhouette that falls to a ribbed hem, then it's finished with a round neckline and half sleeves.",Apparel & Accessories > Clothing > Shirts & Tops,female,adult,,NEW,FALSE,KNIT TOP,S126,S126-8834 KWS068 000406 BERRY BLUE,,,,navy,- 50% Extrafine Merino Wool 20% Alpaca 30% Polyamide. Made In Italy,,active
ty-sweater-berry-blue,,,,,,,,,S,,,Berry Blue,,,,,840483423886,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423886,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000406_BERRY_BLUE_FINAL_hero_image__003.jpg,2,,,,,,,,,,,,,,,,,,,,
ty-sweater-berry-blue,,,,,,,,,M,,,Berry Blue,,,,,840483423893,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423893,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000406_BERRY_BLUE_FINAL_model_image_1_028.jpg,3,,,,,,,,,,,,,,,,,,,,
ty-sweater-berry-blue,,,,,,,,,L,,,Berry Blue,,,,,840483423909,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423909,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000406_BERRY_BLUE_FINAL_model_image_2_037.jpg,4,,,,,,,,,,,,,,,,,,,,
ty-sweater-berry-blue,,,,,,,,,XL,,,Berry Blue,,,,,840483423916,999.9897389,shopify,deny,manual,495,,TRUE,TRUE,,,,,840483423916,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000406_BERRY_BLUE_FINAL_model_image_3_049.jpg,5,,,,,,,,,,,,,,,,,,,,
ty-sweater-berry-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8834_KWS068_000406_BERRY_BLUE_FINAL_model_image_4_056.jpg,6,,,,,,,,,,,,,,,,,,,,
marty-sweater-berry-blue,Marty Sweater,"<p>The Marty sweater is designed with a traditional Fair Isle pattern. Knitted from a soft Mako cotton, typically used for its exceptional fineness and silky feel, it's shaped for a looser fit with half balloon sleeves.</p>",Altuzarra,Apparel & Accessories > Clothing > Shirts & Tops,KNIT TOP,"DTC BUY, S126, S126-8833 KCS042 351406 BERRY BLUE, SS26, style_Marty Sweater, color_berry blue, collection_ready-to-wear, collection_knitwear, collection_tops, collection_new-arrivals",FALSE,Size,XS,,Color,Berry Blue,,,,,840483423770,999.9897389,shopify,deny,manual,895,,TRUE,TRUE,,,,,840483423770,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8833_KCS042_351406_BERRY_BLUE_FINAL_ghost_0123.jpg,1,,FALSE,Marty Sweater in Berry Blue,"The Marty sweater is designed with a traditional Fair Isle pattern. Knitted from a soft Mako cotton, typically used for its exceptional fineness and silky feel, it's shaped for a looser fit with half balloon sleeves.",Apparel & Accessories > Clothing > Shirts & Tops,female,adult,,NEW,FALSE,KNIT TOP,S126,S126-8833 KCS042 351406 BERRY BLUE,,,,navy,- 100% Mercerised Cotton Mako,,active
marty-sweater-berry-blue,,,,,,,,,S,,,Berry Blue,,,,,840483423787,999.9897389,shopify,deny,manual,895,,TRUE,TRUE,,,,,840483423787,https://cdn.shopify.com/s/files/1/0148/9561/2004/files/S126-8833_KCS042_351406_BERRY_BLUE_FINAL_hero_image__027.jpg,2,,,,,,,,,,,,,,,,,,,,
